Index,NF Instance ID,Data Network Name,PNFNS Index,PDU Session Type,Priority Switch,Priority,Capacity Switch,Capacity
100,3d5a0697-2a3c-43bc-7d7e-0425592b5489,internet.0009,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC,100,INHERIT,0
101,3d5a0697-2a3c-43bc-7d7e-0425592b5489,ims,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC,100,INHERIT,0
102,3d5a0697-2a3c-43bc-7d7e-0425592b5489,xcap,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC,100,INHERIT,0
103,3d5a0697-2a3c-43bc-7d7e-0425592b5489,secure.general.0009,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC,100,INHERIT,0
104,3d5a0697-2a3c-43bc-7d7e-0425592b5489,secure.kid.0009,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC,100,INHERIT,0
105,3d5a0697-2a3c-43bc-7d7e-0425592b5489,securenet-corp.ais.0009   ,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
106,3d5a0697-2a3c-43bc-7d7e-0425592b5489,relay.zte.5g              ,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
107,3d5a0697-2a3c-43bc-7d7e-0425592b5489,relay.huawei              ,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
200,a5d0c813-f5a7-4510-b97a-9ee506b3a794,internet.0009             ,200,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
201,a5d0c813-f5a7-4510-b97a-9ee506b3a794,ims                       ,200,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
202,a5d0c813-f5a7-4510-b97a-9ee506b3a794,xcap                      ,200,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
203,a5d0c813-f5a7-4510-b97a-9ee506b3a794,secure.general.0009       ,200,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
204,a5d0c813-f5a7-4510-b97a-9ee506b3a794,secure.kid.0009           ,200,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
205,a5d0c813-f5a7-4510-b97a-9ee506b3a794,securenet-corp.ais.0009   ,200,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
1001,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.wacom100m40m         ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT         ,0,INHERIT          ,0
1002,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.bbf1ip50m20m         ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT         ,0,INHERIT          ,0
1003,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.bbf1ip100m40m        ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT         ,0,INHERIT          ,0
1004,3d5a0697-2a3c-43bc-7d7e-0425592b5489,acereal.ntt.5g.ar        ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT         ,0,INHERIT          ,0
1005,3d5a0697-2a3c-43bc-7d7e-0425592b5489,medcmu.5g.emr            ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT         ,0,INHERIT          ,0
1007,3d5a0697-2a3c-43bc-7d7e-0425592b5489,testrb                   ,1000,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT         ,0,INHERIT          ,0
1008,3d5a0697-2a3c-43bc-7d7e-0425592b5489,testrb                   ,1002,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT         ,0,INHERIT          ,0
1009,3d5a0697-2a3c-43bc-7d7e-0425592b5489,testrb                   ,1003,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT         ,0,INHERIT          ,0
1010,3d5a0697-2a3c-43bc-7d7e-0425592b5489,testrb                   ,1005,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT         ,0,INHERIT          ,0
1011,3d5a0697-2a3c-43bc-7d7e-0425592b5489,testrb                   ,1007,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT         ,0,INHERIT          ,0
1017,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.oamfixip2m2m         ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1018,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.bualuang50m20m       ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1034,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.yamaha5m5m           ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1036,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.kbank100m100m        ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1037,3d5a0697-2a3c-43bc-7d7e-0425592b5489,awn.pttgc4g5g            ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1038,3d5a0697-2a3c-43bc-7d7e-0425592b5489,awn.pttgc20m8m           ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1039,3d5a0697-2a3c-43bc-7d7e-0425592b5489,mecng.testsingtel.gaming ,1010,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1040,3d5a0697-2a3c-43bc-7d7e-0425592b5489,mecng.testais.raisehand  ,1010,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1042,3d5a0697-2a3c-43bc-7d7e-0425592b5489,mecng.poczte.agv         ,1010,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1043,3d5a0697-2a3c-43bc-7d7e-0425592b5489,awn.nectec20m8m          ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1044,3d5a0697-2a3c-43bc-7d7e-0425592b5489,mecng.stt.smtengy        ,1010,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1045,3d5a0697-2a3c-43bc-7d7e-0425592b5489,mecng.pocms.azcv         ,1010,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1050,3d5a0697-2a3c-43bc-7d7e-0425592b5489,awn.pttgcl20m8m          ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1053,3d5a0697-2a3c-43bc-7d7e-0425592b5489,awn.durbell.5g           ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1056,3d5a0697-2a3c-43bc-7d7e-0425592b5489,awn.test5g               ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1058,3d5a0697-2a3c-43bc-7d7e-0425592b5489,awn.baac5g               ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1061,3d5a0697-2a3c-43bc-7d7e-0425592b5489,awn.5gcorpgbr.10m        ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1062,3d5a0697-2a3c-43bc-7d7e-0425592b5489,awn.murata10m            ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1063,3d5a0697-2a3c-43bc-7d7e-0425592b5489,prb1.scg.cctv42m         ,1014,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1064,3d5a0697-2a3c-43bc-7d7e-0425592b5489,prb2.scg.cctv42m         ,1014,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1065,3d5a0697-2a3c-43bc-7d7e-0425592b5489,prb1.scg.plc3m           ,1014,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1066,3d5a0697-2a3c-43bc-7d7e-0425592b5489,prb2.scg.plc3m           ,1014,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
1070,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.std20m8m             ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1071,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.std30m12m            ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1072,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.std40m16m            ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1073,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.std50m20m            ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1074,3d5a0697-2a3c-43bc-7d7e-0425592b5489,sbn.std100m40m           ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,200,INHERIT          ,0
1075,3d5a0697-2a3c-43bc-7d7e-0425592b5489,gbr.net.vanachai.1m      ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC        ,100,INHERIT          ,0
