NS_INDEX,SNSSAI,NS_INSTANCE_ID,INSTANCE_INDEX
1,1-ffffff,3d5a0697-2a3c-43bc-7d7e-0425592b5489,100
1,1-ffffff,a5d0c813-f5a7-4510-b97a-9ee506b3a794,200
2,1-001001,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1000
3,1-001002,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1001
3,1-001002,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1001
2,1-001001,a5d0c813-f5a7-4510-b97a-9ee506b3a794,2000
4,1-001003,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1002
5,1-002001,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1003
6,1-002002,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1004
7,1-002003,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1005
9,1-003001,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1007
10,1-003002,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1010
11,1-003003,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1011
21,151-408003,3d5a0697-2a3c-43bc-7d7e-0425592b5489,1014
3,1-001002,a5d0c813-f5a7-4510-b97a-9ee506b3a794,2001
4,1-001003,a5d0c813-f5a7-4510-b97a-9ee506b3a794,2002
5,1-002001,a5d0c813-f5a7-4510-b97a-9ee506b3a794,2003
6,1-002002,a5d0c813-f5a7-4510-b97a-9ee506b3a794,2004
7,1-002003,a5d0c813-f5a7-4510-b97a-9ee506b3a794,2005
10,1-003002,a5d0c813-f5a7-4510-b97a-9ee506b3a794,2010
11,1-003003,a5d0c813-f5a7-4510-b97a-9ee506b3a794,2011
21,151-408003,a5d0c813-f5a7-4510-b97a-9ee506b3a794,2014
8,1-503001,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,3000
3,1-001002,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,3001
5,1-002001,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,3003
6,1-002002,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,3004
